Country,Year,Region,Average_Monthly_Income,Cost_of_Living,Tax_Rate,Housing_Cost_Percentage,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,TakeHome,Housing_Share_TakeHome_Percent,Savings_Share_TakeHome_Percent,Net_Savings_Room_Percent,Other_Essentials_Percentage,Savings_to_Spending_Ratio,Savings_to_Spending_Ratio_Net
Australia,2013,Oceania,3483.92,1106.07,27.5,32.09,1.74,18.23,6.94,17.19,2525.842,44.26206896551725,2.4,-41.86206896551725,-3.6900000000000084,0.01770812131080806,0.02459016393442623
India,2019,Asia,7771.03,5422.78,29.3,25.21,3.35,17.21,12.42,9.9,5494.1182100000005,35.65770862800566,4.738330975954738,-30.91937765205092,2.6099999999999994,0.0346611484738748,0.04974016332590943
Russia,2004,Europe,6991.3,3972.36,22.94,40.85,15.48,15.28,7.1,9.59,5387.49578,53.010641058915134,20.088242927588894,-32.92239813132624,-11.239999999999998,0.1831519167061051,0.25138031828515756
South Africa,2011,Africa,6628.04,6755.75,15.69,30.38,8.03,6.66,11.76,11.04,5588.1005239999995,36.03368520934646,9.524374332819356,-26.509310876527103,16.440000000000012,0.08731107969990214,0.10527005768222338
Brazil,2015,South America,2434.27,2656.36,12.44,49.27,25.06,9.34,3.63,15.09,2131.446812,56.26998629511193,28.620374600274097,-27.64961169483783,-14.829999999999998,0.33440085401654657,0.4009599999999999
Australia,2015,Oceania,1781.66,4575.3,6.16,39.23,0.44,9.65,12.05,15.23,1671.909744,41.80520034100596,0.4688832054560954,-41.33631713554986,17.240000000000013,0.0044194455604660505,0.0047109207708779435
China,2020,Asia,5514.82,6551.39,15.64,44.67,11.37,8.75,5.08,9.73,4652.302152,52.95163584637269,13.477951635846372,-39.473684210526315,4.76,0.12828613336342096,0.15577476366625564
Japan,2006,Asia,7470.32,1076.56,27.86,23.98,10.12,12.73,10.81,7.0,5389.088848,33.24092043249237,14.028278347657333,-19.21264208483504,7.499999999999998,0.11259457053849577,0.16317316994517897
Australia,2003,Oceania,4675.72,6585.71,37.84,45.86,0.58,13.03,9.36,14.49,2906.4275519999997,73.77734877734878,0.9330759330759331,-72.84427284427285,-21.160000000000004,0.005833836250251458,0.009418642416368951
Russia,2000,Europe,4787.1,4940.05,35.49,47.68,3.73,10.35,14.08,6.92,3088.15821,73.91102154704699,5.782049294682996,-68.128972252364,-18.250000000000007,0.03874519580346941,0.06136887133925635
Russia,2004,Europe,2599.84,847.72,31.81,34.61,12.41,10.31,7.04,13.68,1772.830896,50.755242704208825,18.199149435401086,-32.55609326880774,-9.860000000000003,0.1416828405069072,0.222481176048763
South Africa,2022,Africa,6271.2,2386.36,32.6,38.19,14.79,17.43,2.86,15.4,4226.788799999999,56.66172106824925,21.943620178041538,-34.71810089020771,-21.26999999999999,0.1735711770918906,0.2811252613571563
Brazil,2009,South America,1902.83,5073.94,28.27,42.94,12.13,16.84,2.25,15.51,1364.899959,59.86337655095496,16.910637111389935,-42.95273943956502,-17.939999999999998,0.1380448389666553,0.2035234899328859
India,2021,Asia,2927.59,844.51,14.11,25.25,15.93,9.62,12.75,16.3,2514.507051,29.39806729537781,18.54697869367796,-10.85108860169985,6.040000000000003,0.18948495301534438,0.2277015437392796
South Africa,2004,Africa,3690.77,4242.33,36.75,35.08,17.85,18.71,8.82,18.09,2334.412025,55.46245059288537,28.22134387351779,-27.24110671936758,-35.3,0.2172854534388314,0.39317180616740094
South Africa,2003,Africa,4307.08,2682.83,28.48,31.96,0.3,19.29,12.08,12.5,3080.423616,44.68680089485459,0.41946308724832215,-44.26733780760627,-4.610000000000001,0.003009027081243731,0.004212299915754001
Japan,2001,Asia,2318.07,4498.04,24.62,24.39,13.92,9.9,5.05,15.95,1747.3611660000001,32.35606261607854,18.466436720615548,-13.889625895462991,6.169999999999995,0.16171003717472118,0.2264887731858119
Canada,2019,North America,1361.28,701.9,8.88,31.03,28.9,10.32,6.49,14.29,1240.398336,34.05399473222125,31.71641791044776,-2.3375768217734887,0.09000000000000519,0.40646976090014064,0.46448087431693985
Brazil,2009,South America,5079.65,6152.14,20.65,22.05,15.57,12.58,2.39,7.8,4030.7022749999996,27.788279773156905,19.62192816635161,-8.166351606805296,18.959999999999997,0.1844131232974061,0.24412041392285988
Germany,2018,Europe,2664.73,6825.03,21.11,20.77,20.33,19.12,14.5,5.39,2102.205497,26.32779820002535,25.77005957662568,-0.5577386233996684,-1.2199999999999944,0.25517760763147984,0.34716530054644806
South Africa,2000,Africa,4859.29,6794.59,35.26,24.05,9.36,18.14,10.68,9.27,3145.904346,37.14859437751004,14.457831325301202,-22.690763052208837,-6.759999999999987,0.10326566637246248,0.16901408450704222
Mexico,2023,North America,1657.72,5347.7,24.13,48.89,23.22,6.54,14.13,11.65,1257.712164,64.43917226835376,30.60498220640569,-33.834190061948064,-28.559999999999995,0.30242250586090125,0.4410256410256409
Canada,2004,North America,4108.55,1258.57,18.31,36.49,23.19,10.89,5.45,14.26,3356.274495,44.66887011874159,28.387807565185458,-16.28106255355613,-8.590000000000007,0.30191381330555916,0.39641025641025646
Germany,2012,Europe,4494.42,5404.54,39.19,48.97,15.64,13.3,9.95,17.75,2733.0568020000005,80.52951817135339,25.71945403716494,-54.81006413418845,-44.8,0.1853959222380275,0.3462475094088997
Mexico,2003,North America,888.68,562.27,8.88,32.97,29.28,12.55,10.82,7.94,809.765216,36.1830553116769,32.13345039508341,-4.049604916593495,-2.439999999999997,0.414027149321267,0.4734799482535576
Brazil,2015,South America,3024.53,546.02,19.79,29.35,3.77,7.91,6.13,6.88,2425.9755130000003,36.59144745044259,4.700162074554295,-31.89128537588829,26.170000000000005,0.03917697183830406,0.04931972789115646
United States,2023,North America,1508.11,2535.83,6.47,35.18,0.51,17.88,13.03,19.45,1410.535283,37.613599914465944,0.5452795894365444,-37.0683203250294,7.4800000000000075,0.00512614333098804,0.005482691894216298
Mexico,2015,North America,975.31,3625.05,30.9,33.19,23.1,15.15,14.31,6.62,673.93921,48.03183791606367,33.42981186685962,-14.60202604920405,-23.270000000000007,0.30039011703511054,0.5021739130434782
China,2022,Asia,7924.7,5484.69,37.13,23.17,24.21,17.57,13.5,12.18,4982.25889,36.85382535390489,38.508032447908384,1.654207094003496,-27.760000000000005,0.3194352816994327,0.6262286601138128
Canada,2001,North America,2917.65,4909.75,14.8,39.22,3.61,17.88,11.61,13.78,2485.8378000000002,46.032863849765256,4.237089201877934,-41.79577464788732,-0.8999999999999932,0.037452017844174706,0.044245618335580335
Mexico,2016,North America,6574.06,3342.96,35.04,26.48,7.97,16.23,5.61,13.12,4270.509376,40.76354679802955,12.269088669950737,-28.494458128078815,-4.449999999999994,0.08660219493643377,0.1398490963326899
France,2019,Europe,2409.8,2205.94,15.23,38.59,0.53,11.59,5.66,6.29,2042.7874600000002,45.52318037041407,0.6252211867405922,-44.89795918367348,22.10999999999999,0.005328239670252337,0.006291547958214625
United States,2023,North America,5611.27,6981.02,36.88,39.51,8.8,14.16,14.52,5.86,3541.8336240000003,62.59505703422054,13.941698352344742,-48.653358681875794,-19.73,0.09649122807017545,0.16200294550810018
Russia,2011,Europe,6201.71,3212.8,31.39,24.56,23.19,7.41,2.13,6.58,4254.9932309999995,35.79653111791284,33.79973764757324,-1.996793470339604,4.739999999999997,0.30191381330555916,0.510568031704095
Russia,2017,Europe,4967.29,3379.15,33.17,21.84,15.54,15.1,11.31,13.78,3319.639907,32.6799341613048,23.253030076313035,-9.426904084991765,-10.740000000000004,0.1839924224484963,0.3029830376291675
